"SamAccountName","DisplayName","Department","OU","Enabled","LastLogOn","GroupMembership"
"Administrator","Administrator","Belirtilmemis","OU=Users2,DC=lab,DC=test","True","2026-08-17 10:49:16","Group Policy Creator Owners; Domain Admins; Enterprise Admins; Schema Admins; Administrators"
"Guest","Guest","Belirtilmemis","OU=Users2,DC=lab,DC=test","False","Hic Giris Yapilmadi","Guests"
"msi-nb","msi-nb","Belirtilmemis","OU=Users2,DC=lab,DC=test","True","2026-08-17 09:06:59","Users; Administrators"
"krbtgt","krbtgt","Belirtilmemis","Kok Dizin (CN=Users vb.)","False","Hic Giris Yapilmadi","Denied RODC Password Replication Group"
"AhmetYildiz","Ahmet Yildiz","Belirtilmemis","OU=IT,OU=Users2,DC=lab,DC=test","True","Hic Giris Yapilmadi","G_IT_Users"
"MehmetYilmaz","Mehmet Yilmaz","Belirtilmemis","OU=IT,OU=Users2,DC=lab,DC=test","True","Hic Giris Yapilmadi","G_IT_Users"
"MuratMuhasebe","Murat Muhasebe","Belirtilmemis","OU=Muhasebe,OU=Users2,DC=lab,DC=test","True","Hic Giris Yapilmadi","G_Muhasebe_Users"
"AliHR","Ali HR","Belirtilmemis","OU=HR,OU=Users2,DC=lab,DC=test","True","Hic Giris Yapilmadi","G_HR_Users"
"mehmet.hr","Mehmet HR","Belirtilmemis","OU=HR,OU=Users2,DC=lab,DC=test","True","2026-08-17 15:22:24","G_HR_Users"
"deneme.muhasebe","Deneme Muhasebe","Belirtilmemis","OU=Muhasebe,OU=Users2,DC=lab,DC=test","True","Hic Giris Yapilmadi","G_Muhasebe_Users"
"Test.1","Test 1","Belirtilmemis","OU=Test,OU=Users2,DC=lab,DC=test","True","2026-08-17 15:50:29","Yok"
